Date,Close,Daily Return,Put-Call Ratio,VaR_Hist,VaR_Adjusted,Asset
2019-10-07,32.34718322753906,0.004777528375869,1.89,0.0,0.0,Total
2019-10-08,31.81420516967773,-0.0164767996679096,1.71,0.0,0.0,Total
2019-10-09,32.10752487182617,0.0092197715009394,0.75,0.0,0.0,Total
2019-10-10,32.404422760009766,0.0092469877191971,4.26,0.0,0.0,Total
2019-10-11,33.2056770324707,0.0247266948217255,1.75,0.0,0.0,Total
2019-10-14,32.79431915283203,-0.0123881792633355,4.12,0.0,0.0,Total
2019-10-15,33.23429870605469,0.0134163344319548,1.18,0.0,0.0,Total
2019-10-16,33.19852828979492,-0.0010763102473183,1.27,0.0,0.0,Total
2019-10-17,33.06259536743164,-0.0040945466370286,1.44,0.0,0.0,Total
2019-10-18,33.14844512939453,0.0025965826641503,2.82,0.0,0.0,Total
2019-10-21,33.25217819213867,0.0031293492753345,3.47,0.0,0.0,Total
2019-10-22,33.75654602050781,0.0151679635978969,1.28,0.0,0.0,Total
2019-10-23,33.85313034057617,0.0028612026837604,2.06,0.0,0.0,Total
2019-10-24,33.98188781738281,0.0038034142045739,3.15,0.0,0.0,Total
2019-10-25,34.12140655517578,0.0041056794296636,1.95,0.0,0.0,Total
2019-10-28,34.23228454589844,0.0032495140709796,2.32,0.0,0.0,Total
2019-10-29,34.103515625,-0.0037616221822935,4.37,0.0,0.0,Total
2019-10-30,34.09994125366211,-0.0001048094682435,2.64,0.0,0.0,Total
2019-10-31,33.72077178955078,-0.0111193582795573,2.76,0.0,0.0,Total
2019-11-01,34.16075134277344,0.0130477308161431,0.6,0.0,0.0,Total
2019-11-04,34.708030700683594,0.0160207061144141,0.91,0.0,0.0,Total
2019-11-05,35.27321243286133,0.0162838893699204,1.33,0.0,0.0,Total
2019-11-06,35.28751373291016,0.0004054436514975,0.5,0.0,0.0,Total
2019-11-07,35.47710037231445,0.0053726267268152,2.13,0.0,0.0,Total
2019-11-08,35.26605224609375,-0.0059488550080434,3.48,0.0,0.0,Total
2019-11-11,35.348323822021484,0.0023328830614106,7.22,0.0,0.0,Total
2019-11-12,35.37336730957031,0.0007084773715133,2.66,0.0,0.0,Total
2019-11-13,35.348323822021484,-0.0007079757866889,1.34,0.0,0.0,Total
2019-11-14,35.112239837646484,-0.0066787886623331,1.69,0.0,0.0,Total
2019-11-15,35.251747131347656,0.0039731812708683,6.99,0.0,0.0,Total
2019-11-18,35.07289123535156,-0.005073674655888,3.68,0.0,0.0,Total
2019-11-19,34.95486068725586,-0.0033652927927634,4.44,0.0,0.0,Total
2019-11-20,34.88330841064453,-0.0020469907533464,4.71,0.0,0.0,Total
2019-11-21,34.95126724243164,0.0019481762161748,4.99,0.0,0.0,Total
2019-11-22,35.130130767822266,0.0051175118816144,4.69,0.0,0.0,Total
2019-11-25,35.008506774902344,-0.0034620990660053,8.86,0.0,0.0,Total
2019-11-26,34.42902755737305,-0.0165525259690517,3.05,0.0,0.0,Total
2019-11-27,34.36464309692383,-0.0018700632872051,4.18,0.0,0.0,Total
2019-11-28,34.332454681396484,-0.0009366724815549,2.88,0.0,0.0,Total
2019-11-29,34.08205032348633,-0.0072935174671865,3.73,0.0,0.0,Total
2019-12-02,33.68142318725586,-0.0117547838943947,1.57,0.0,0.0,Total
2019-12-03,33.36306381225586,-0.0094520760963704,2.24,0.0,0.0,Total
2019-12-04,33.77442932128906,0.0123299679953881,1.23,0.0,0.0,Total
2019-12-05,33.717193603515625,-0.0016946464802992,4.51,0.0,0.0,Total
2019-12-06,34.307411193847656,0.0175049441324348,1.93,0.0,0.0,Total
2019-12-09,34.04270553588867,-0.0077156989917809,3.15,0.0,0.0,Total
2019-12-10,34.08562469482422,0.0012607446517522,2.11,0.0,0.0,Total
2019-12-11,33.90678787231445,-0.0052466934113993,1.96,0.0,0.0,Total
2019-12-12,34.07132339477539,0.0048525835912425,2.64,0.0,0.0,Total
2019-12-13,34.21083068847656,0.0040945663332396,3.58,0.0,0.0,Total
2019-12-16,34.53990936279297,0.0096191372057869,2.27,0.0,0.0,Total
2019-12-17,34.90118789672852,0.0104597418059446,1.35,0.0,0.0,Total
2019-12-18,34.776004791259766,-0.0035867863821472,1.34,0.0,0.0,Total
2019-12-19,35.05500793457031,0.0080228636091248,1.92,0.0,0.0,Total
2019-12-20,35.1050910949707,0.0014287020129584,2.07,0.0,0.0,Total
2019-12-23,35.30897903442383,0.0058079307899114,2.62,0.0,0.0,Total
2019-12-27,35.26248550415039,-0.0037388425334158,2.6,0.0,0.0,Total
2019-12-30,35.187355041503906,-0.002130605984585,2.97,0.0,0.0,Total
2020-01-03,36.04226303100586,0.0113416323550095,1.91,0.0,0.0,Total
2020-01-06,36.5641975402832,0.0144811802973732,5.01,0.0,0.0,Total
2020-01-07,36.32498550415039,-0.0065422476691651,2.46,0.0,0.0,Total
