User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
MarketBeat,@MarketBeatCom,2020-07-08T08:50:48.000Z,"MarketBeat
@MarketBeatCom
·
Jul 8, 2020Brokerages Expect FMC Corp $FMC Will Announce Quarterly Sales of $1.20 Billion http://zpr.io/HtcZx",,,
The Lincolnian,@ThisLincolnian,2020-07-08T08:49:59.000Z,"The Lincolnian
@ThisLincolnian
·
Jul 8, 2020FMC Corp $FMC Expected to Post Quarterly Sales of $1.20 Billion http://thelincolnianonline.com/?p=4291843",,,
FOCUS Finanzen,@focusfinanzen,2020-07-07T21:30:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jul 7, 2020FMC Corp.-Aktie Aktuell - FMC Corp. gewinnt 0,8 Prozent https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-07-07-2020_id_11103196.html?rnd=1ac4efd0143d6453a1e7df8db8dd8398…",,,
Justin Collett,@jcollett83,2020-07-07T15:16:43.000Z,"Justin Collett
@jcollett83
·
Jul 7, 2020Replying to 
@tonynyssegcs
 and 
@FMCCorp",,,
Belisario Saravia O.,@agronoa,2020-07-07T01:15:00.000Z,"Belisario Saravia O.
@agronoa
·
Jul 7, 2020@FMCCorp
 invierte en empresas nuevas para complementar su cartera de tecnología agrícola. Concretó la compra de Trace Genomics, Inc., una empresa que combina secuenciación de ADN junto con aprendizaje automático.

La nota completa en #Agronoa☟

http://agronoa.com.ar/noticias_desc.php?id=35923&catid=21…",,1.0,
Deus Ex Trader,@deus_trader,2020-07-06T20:02:26.000Z,"Deus Ex Trader
@deus_trader
·
Jul 6, 2020Optimus Maximus v2
2020-07-06 15:58 ET. Shorted/Opened:
$FMC at $101.84. 
FMC Corp (CORP).
Win Chance: 57%. Avg Win: 8%. Avg Loss: 5.96%. Avg Hold: 2d.
Trade Id: 47764752603049202.
Stats: https://deustrader.com/optimus_maximus2.html…",,,
FOCUS Finanzen,@focusfinanzen,2020-07-06T14:50:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jul 6, 2020FMC Corp.-Aktie Aktuell - FMC Corp. notiert mit 0,7 Prozent Verluste https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-06-07-2020_id_11103196.html?rnd=62f29558f4f3574e3f45c84fcadf3530…",,,1
hoyrojas,@HOYderojas,2020-07-05T16:12:15.000Z,"hoyrojas
@HOYderojas
·
Jul 5, 2020http://hoyrojas.com.ar/index1.php?que=noticias&id=15666…
@FMCCorp",,,
Rory,@RoryBamford,2020-07-05T09:01:14.000Z,"Rory
@RoryBamford
·
Jul 5, 2020Replying to 
@FMCCorp",,,
Daily Political,@dailypoliticaln,2020-07-05T05:52:36.000Z,"Daily Political
@dailypoliticaln
·
Jul 5, 2020FMC Corp $FMC Expected to Announce Quarterly Sales of $1.20 Billion http://dailypolitical.com/?p=4132735",,,
Enterprise Leader,@EnterpriseLeade,2020-07-05T05:49:17.000Z,"Enterprise Leader
@EnterpriseLeade
·
Jul 5, 2020FMC Corp $FMC Expected to Announce Quarterly Sales of $1.20 Billion  http://theenterpriseleader.com/?p=3428246",,,
Raheel,@Raheel64336182,2020-07-04T08:52:47.000Z,"Raheel
@Raheel64336182
·
Jul 4, 2020Replying to 
@BethwynTodd
 @FMCANZ
 and 4 others",,,1
Bethwyn Todd,@BethwynTodd,2020-07-04T04:49:12.000Z,"Bethwyn Todd
@BethwynTodd
·
Jul 4, 2020Haha very creative! Well done team 
@FMCANZ
 @fmcapac
 @FMCCorp
 #FMCIndia 
@Kristin11704390
 @pramod_thota",1.0,1.0,13
Editorial Agrícola,@edit_agricola,2020-07-03T17:15:00.000Z,"Editorial Agrícola
@edit_agricola
·
Jul 3, 2020 Ya se puede consultar la 'Guía de Identificación de Lepidópteros FMC'   
@FMCCorp
 la ha elaborado junto al doctor Pablo Bielza Lino, catedrático de la @UPCTnoticias 
http://revistaagricultura.com/fmc/sanidad-y-nutricion/ya-se-puede-consultar-la-guia-de-identificacion-de-lepidopteros-fmc_12134_119_15207_0_1_in.html… | #Agricultura",,,1
Chethana Cn,@chethana_cn,2020-07-03T13:16:25.000Z,"Chethana Cn
@chethana_cn
·
Jul 3, 2020Replying to 
@madanmohan1975",,,
Deus Ex Trader,@deus_trader,2020-07-02T20:05:12.000Z,"Deus Ex Trader
@deus_trader
·
Jul 2, 2020Optimus Maximus v2
2020-07-02 16:01 ET. *Closed/Covered previously shorted:
$FMC at $101.24 for 2.20 loss (-2.22%). FMC Corp (CORP).
Trade Id: 47229609103056203.
Stats: https://deustrader.com/optimus_maximus2.html…",,,
Empresa Agraria,@EmpresaAgraria,2020-07-02T15:00:00.000Z,"Empresa Agraria
@EmpresaAgraria
·
Jul 2, 2020.
@FMCCorp
 lanza una Guía interactiva de Identificación de #Lepidópteros http://empresaagraria.com/fmc-lanza-una-guia-interactiva-identificacion-lepidopteros/… #hortícolas",,,
Olivier Flandre,@oflandre,2020-07-02T14:40:03.000Z,"Olivier Flandre
@oflandre
·
Jul 2, 2020FMC Corp. Launches FMC Ventures to Advance Emerging Ag Technology Innovation http://dlvr.it/RZq0SL",,,
Global Ag Tech Initiative,@GlobalAgTech,2020-07-02T13:07:30.000Z,"Global Ag Tech Initiative
@GlobalAgTech
·
Jul 2, 2020FMC Corp. Launches FMC Ventures to Advance Emerging Ag Technology Innovation https://precisionag.com/market-watch/fmc-corp-launches-fmc-ventures-to-advance-emerging-ag-technology-innovation/…",,,
Empresa Agraria,@EmpresaAgraria,2020-07-02T08:17:22.000Z,"Empresa Agraria
@EmpresaAgraria
·
Jul 2, 2020.
@FMCCorp
 lanza una Guía interactiva de Identificación de #Lepidópteros http://empresaagraria.com/fmc-lanza-una-guia-interactiva-identificacion-lepidopteros/… #hortícolas",,,2
Editorial Agrícola,@edit_agricola,2020-07-01T16:15:00.000Z,"Editorial Agrícola
@edit_agricola
·
Jul 1, 2020 Ya se puede consultar la 'Guía de Identificación de Lepidópteros FMC'   
@FMCCorp
 la ha elaborado junto al doctor Pablo Bielza Lino, catedrático de la @UPCTnoticias 
http://revistaagricultura.com/fmc/sanidad-y-nutricion/ya-se-puede-consultar-la-guia-de-identificacion-de-lepidopteros-fmc_12134_119_15207_0_1_in.html… | #Agricultura",,2.0,4
Mercados,@RevistaMercados,2020-07-01T08:30:00.000Z,"Mercados
@RevistaMercados
·
Jul 1, 2020 Esta nueva guía de 
@FMCCorp
 es una útil herramienta para identificar lepidópteros y evitar que estas plagas ataquen los cultivos 

#EstePaisLoAlimentamosUnidos 

https://revistamercados.com/2020/guia-fmc-de-identificacion-de-lepidopteros/…",,,
Thunderstruck Ag,@ThunderstruckAg,2020-07-01T00:21:14.000Z,"Thunderstruck Ag
@ThunderstruckAg
·
Jul 1, 2020Wow, that was a hot one, but you did not disappoint Ste. Agathe! 

Thanks to our:
Sponsors
@seednetca
@FCCagriculture
@FMCCorp
@Versatileag1
 
Speakers
Show more",,7.0,9
FMC Corporation,@FMCCorp,2020-06-30T22:01:37.000Z,"FMC Corporation
@FMCCorp
·
Jul 1, 2020FMC has entered into a collaboration with Cyclica Inc, a leading biotechnology company specializing in artificial intelligence (AI) and computational biophysics, to accelerate and improve the efficiency of discovering new crop protection chemistry",,13.0,20
Simon Chan,@simonchanpmba,2020-06-30T21:40:24.000Z,"Simon Chan
@simonchanpmba
·
Jun 30, 2020FMC Corp. Collaborates with Cyclica to Improve Research Efficiency Using #artificialintelligence  https://croplife.com/crop-inputs/fmc-corp-collaborates-with-cyclica-to-improve-research-efficiency-using-artificial-intelligence/…",,,
StartUp Health,@startuphealth,2020-06-30T20:10:03.000Z,"StartUp Health
@startuphealth
·
Jun 30, 2020@FMCCorp
 is collaborating w/ StartUp Health company 
@Cyclica
 to improve research efficiency using artificial intelligence. 

More via 
@Nasdaq
  http://ow.ly/lKLU50AmcmT
Press release  http://ow.ly/Zofx50AmcrW

#AI #biotech",1.0,2.0,
AgriGate Global,@AgrigateGlobal,2020-06-30T17:21:32.000Z,"AgriGate Global
@AgrigateGlobal
·
Jun 30, 2020In order to improve the efficiency of discovering new #crop protection chemistry, 
@FMCCorp
 has entered into a partnership with 
@Cyclica
, a leading #biotech company specializing in computational biophysics and #ArtificialIntelligence.",,,
FMC Corporation,@FMCCorp,2020-06-30T17:03:17.000Z,"FMC Corporation
@FMCCorp
·
Jun 30, 2020FMC Investor Relations launched its new site today. Click the link to explore the new site! http://ow.ly/Bny350AlRN9",,,3
Suriya Subramanian,@SuriyaSubraman,2020-06-29T19:38:33.000Z,"Suriya Subramanian
@SuriyaSubraman
·
Jun 29, 2020FMC Corp. Collaborates with Cyclica to Improve Research Efficiency Using Artificial Intelligence - CropLife: FMC Corp. Collaborates with Cyclica to Improve Research Efficiency Using Artificial Intelligence  CropLife http://dlvr.it/RZcR1b #AI #artificialintelligence #CTO",,,
Crop Production Services MS,@ServicesCrop,2020-06-29T14:45:02.000Z,"Crop Production Services MS
@ServicesCrop
·
Jun 29, 2020FMC Corp. Collaborates with Cyclica to Improve Research Efficiency Using Artificial Intelligence http://dlvr.it/RZbTRM",,,
Cyclica,@Cyclica,2020-06-29T14:34:27.000Z,"Cyclica
@Cyclica
·
Jun 29, 2020We are thrilled to announce our collaboration with the renowned agricultural sciences company, 
@FMCCorp
. Our AI platforms will accelerate and improve the efficiency of discovering new #cropprotection chemistry. Read more in the press release: https://prnewswire.com/news-releases/fmc-corporation-collaborates-with-cyclica-to-improve-research-efficiency-using-artificial-intelligence-301084776.html… #agriculture",,1.0,6
CropLife Media Group,@croplifemag,2020-06-29T13:44:05.000Z,"CropLife Media Group
@croplifemag
·
Jun 29, 2020FMC Corp. Collaborates with Cyclica to Improve Research Efficiency Using Artificial Intelligence https://ift.tt/2CSaXko #agchat",,,
CropLife Media Group,@croplifemag,2020-06-29T13:30:11.000Z,"CropLife Media Group
@croplifemag
·
Jun 29, 2020FMC Corp. Collaborates with Cyclica to Improve Research Efficiency Using Artificial Intelligence https://croplife.com/crop-inputs/fmc-corp-collaborates-with-cyclica-to-improve-research-efficiency-using-artificial-intelligence/…",,,
FMC Asia Pacific,@fmcapac,2020-06-29T05:17:31.000Z,"FMC Asia Pacific
@fmcapac
·
Jun 29, 2020Replying to 
@fmcapac",,,
pamela pung,@pamelapung,2020-06-29T04:46:15.000Z,"pamela pung
@pamelapung
·
Jun 29, 2020A healthy snack box delivered to my home courtesy of my employer FMC Corp. Feeling blessed!",,,6
InterCooler,@intercooleronli,2020-06-28T13:28:39.000Z,"InterCooler
@intercooleronli
·
Jun 28, 2020Guggenheim Capital LLC Increases Stock Holdings in FMC Corp $FMC  http://modernreaders.com/?p=3516525 #investingnews",,,
Fal,@KangMbakoo,2020-06-28T06:04:37.000Z,"Fal
@KangMbakoo
·
Jun 28, 2020Replying to 
@hrdbacot",,,
Thunderstruck Ag,@ThunderstruckAg,2020-06-27T22:36:43.000Z,"Thunderstruck Ag
@ThunderstruckAg
·
Jun 28, 2020It was a pleasure, Roseland!
With the support of our: 

Sponsors: 
@seednetca
@FCCagriculture
 
@FMCCorp
@Versatileag1
 Speakers: 
@CornelsenCCC
Show more",,5.0,14
Enterprise Leader,@EnterpriseLeade,2020-06-27T14:19:44.000Z,"Enterprise Leader
@EnterpriseLeade
·
Jun 27, 2020FMC Corp Plans Quarterly Dividend of $0.44 $FMC  http://theenterpriseleader.com/?p=3386873",,,
Belisario Saravia O.,@agronoa,2020-06-27T11:49:19.000Z,"Belisario Saravia O.
@agronoa
·
Jun 27, 2020 Sclerotinia

Enfermedad de manejo preventivo
Endémica en el norte de Salta
El hongo sobrevive como esclerosis con temperatura templada y humedad alta que coincide con la etapa de floración de los porotos
Puede producir esporas
Es necesario tomar la decisión a tiempo
@FMCCorp",,1.0,5
Belisario Saravia O.,@agronoa,2020-06-27T11:28:22.000Z,"Belisario Saravia O.
@agronoa
·
Jun 27, 2020Campaña de maíz y soja
 Se caracterizó por ser seca.
 Algo complicada con rendimientos variables y aleatorios en un mismo campo.
 En cuanto a malezas no hubo grandes problemas, comparando otras campañas.
 Hasta el momento, los lotes de maíz no se ven complicados.
@FMCCorp",,,
Saylani Welfare International Trust,@OfficialSwit,2020-06-27T10:23:04.000Z,"Saylani Welfare International Trust
@OfficialSwit
·
Jun 27, 2020شہریوں کو پینے کے صاف پانی کی فراہمی کے لئے سیلانی ویلفیئر ٹرسٹ کی طرف سے واٹر فلٹریشن پلانٹس کی بحالی کے سلسلے میں ڈپٹی کمشنر محمدعلی اور چیئرمین سیلانی مولانا بشیر فاروقی مفاہمتی یاداشت پر دستخط کررہے ہیں
#roplant
#waterplant
#water
@FMCCorp",,1.0,5
AgriGate Global,@AgrigateGlobal,2020-06-27T06:44:18.000Z,"AgriGate Global
@AgrigateGlobal
·
Jun 27, 2020@FMCCorp
 has announced to launch of its new venture capital arm – FMC Ventures – that will target strategic investments in #startups and early-stage companies involved in developing and applying emerging #technologies in the #agriculture industry.",,,
Belisario Saravia O.,@agronoa,2020-06-27T00:41:30.000Z,"Belisario Saravia O.
@agronoa
·
Jun 27, 2020Mañana en #ClavesDelCampo nos acompañan:

 Pablo Gomez - 
@FMCCorp
 

 Carlos Rosso - Senador Prov. 
@camdipsalta
 

 Mario De Simone - 
@INTASalta
 

 Ing. Eduardo Sierra
Show more",1.0,2.0,5
PMP Magazine,@PMP_magazine,2020-06-26T17:00:11.000Z,"PMP Magazine
@PMP_magazine
·
Jun 26, 2020Product of the Day: 
@TargetSpecProd
: 
@FMCCorp
 Mosquito Webinar #sponsored",,1.0,2
FOCUS Finanzen,@focusfinanzen,2020-06-26T15:05:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 26, 2020FMC Corp.-Aktie Aktuell - FMC Corp. legt deutliche 3 Prozent zu https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-26-06-2020_id_11103196.html?rnd=0aef29d8239c47ec9d6b6583b034e0b7…",,,
Successful Farming,@SuccessfulFarm,2020-06-25T15:25:12.000Z,"Successful Farming
@SuccessfulFarm
·
Jun 25, 2020The new venture capital arm of 
@FMCCorp
 is targeting strategic investments in start-ups and early-stage companies that are developing and applying emerging technologies in the #agricultural industry, according to FMC officials.",,2.0,1
Agroservicios JManuel,@AgroservJManuel,2020-06-25T15:23:22.000Z,"Agroservicios JManuel
@AgroservJManuel
·
Jun 25, 2020Shark Herbicida  
@FMCCorp
 
Alto poder de quemado
Amplio espectro de control
Baja volatilidad
Veraatilidad de uso: Barbecho y post-emergente en trigo
Contactate con nuestros especialistas!",,,
FMC Corporation,@FMCCorp,2020-06-25T12:30:18.000Z,"FMC Corporation
@FMCCorp
·
Jun 25, 2020FMC Ventures announced its first portfolio investment in Trace Genomics. The start-up combines DNA sequencing with machine learning to explain how soil diseases emerge & identifies beneficial microorganisms that can be developed into biological products. http://ow.ly/8E7X50AhtPj",1.0,15.0,27
FMC Corporation,@FMCCorp,2020-06-25T12:02:48.000Z,"FMC Corporation
@FMCCorp
·
Jun 25, 2020FMC Corporation announced today that it has launched FMC Ventures. The new venture capital arm of FMC Corporation is targeting strategic investments in start-ups and early-stage companies that are developing and applying emerging technologies in the agricultural industry.",,18.0,37
Gil Gullickson,@GilGullickson,2020-06-25T12:02:15.000Z,"Gil Gullickson
@GilGullickson
·
Jun 25, 2020Seed and chemical companies are forming venture capital entities to focus on start-up ag technology firms. The latest is 
@FMCCorp
's FMC Ventures. https://agriculture.com/news/technology/fmc-corporation-launches-fmc-ventures…",,,1
Thunderstruck Ag,@ThunderstruckAg,2020-06-24T01:06:16.000Z,"Thunderstruck Ag
@ThunderstruckAg
·
Jun 24, 2020Thank you, Crystal City! 

We couldn't have done it without our:
Sponsors: 
@seednetca
 @FCCagriculture
 @FMCCorp
 @Versatileag1
Speakers: @CornelsenCCC 
@lesleyraekelly
and our fellow exhibitors.

Thank you to 
@Frisbeeplate
 for this amazing recap!
Full Video: https://bit.ly/2VbQ9uq",,10.0,14
ASAI Events hub,@ASAI_Events,2020-06-23T11:15:40.000Z,"ASAI Events hub
@ASAI_Events
·
Jun 23, 2020FMC Corp. (FMC) Q1 2020 Earnings Call Transcript https://news.alphastreet.com/fmc-corp-fmc-q1-2020-earnings-call-transcript/…",,,
FMC Corporation,@FMCCorp,2020-06-23T01:00:41.000Z,"FMC Corporation
@FMCCorp
·
Jun 23, 2020Say hello to FMC’s newest regional channel, 
@fmcapac
! Be sure to follow for stories and information about FMC’s crop science and agricultural innovations in the Asia Pacific region!",,2.0,17
InterCooler,@intercooleronli,2020-06-22T15:31:14.000Z,"InterCooler
@intercooleronli
·
Jun 22, 2020Meeder Asset Management Inc. Purchases 7,809 Shares of FMC Corp $FMC  http://modernreaders.com/?p=3485953 #investingnews",,,
Bethwyn Todd,@BethwynTodd,2020-06-22T11:18:14.000Z,"Bethwyn Todd
@BethwynTodd
·
Jun 22, 2020Oh no I might have to behave on here now. Looking forward to sharing with the Twitterverse all the cool things our great 
@fmcapac
 team is doing across the region 
@FMCCorp",,1.0,13
Pramod Thota,@pramod_thota,2020-06-22T05:44:23.000Z,"Pramod Thota
@pramod_thota
·
Jun 22, 2020Our new community outreach channel to bring the latest in agriculture and innovation from 
@FMCCorp
 @fmcapac",,3.0,15
FOCUS Finanzen,@focusfinanzen,2020-06-21T05:05:03.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 21, 2020FMC Corp.-Aktie Aktuell - FMC Corp. verzeichnet mit 1,3 Prozent Verluste https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-21-06-2020_id_11103196.html?rnd=01987c2bd0968f8eac532c4c872376b8…",,,
Naseer Bajwa,@Bajwa8686,2020-06-21T04:21:57.000Z,"Naseer Bajwa
@Bajwa8686
·
Jun 21, 2020جن کے لیے پلازمہ کی درخواست کی تھی وہ آج اس جہان فانی سے چلے گیے ہیں. انتہائی شفیق اور اعلیٰ اخلاق کے مالک تھے. اللّہ جنت میں جگہ عطا فرمائے. خدارا اس مرض کو سیریس لیں اور احتیاط کریں. جو لوگ صحت مند ہو رہے ہیں وہ خون کا پلازمہ عطیہ کر کے دوسروں کے کام آیں.
@Aadiiroy
 @FMCCorp",,,
FMC Corporation,@FMCCorp,2020-06-19T15:03:49.000Z,"FMC Corporation
@FMCCorp
·
Jun 19, 2020",,6.0,9
Thunderstruck Ag,@ThunderstruckAg,2020-06-18T21:37:54.000Z,"Thunderstruck Ag
@ThunderstruckAg
·
Jun 18, 2020Thank you 
@FMCCorp
 for partnering with us on the #ThankForFarmingTOUR. With your support, we are bringing the tour across the Prairies! 

Register for FREE today at http://thunderstruckag.com/thanksforfarming…!",,1.0,4
Dakota Financial,@dakotafinancial,2020-06-18T15:21:35.000Z,"Dakota Financial
@dakotafinancial
·
Jun 18, 2020FMC Corp $FMC Receives Consensus Recommendation of “Buy” from Brokerages http://dakotafinancialnews.com/?p=2091874",,,
The Markets Daily,@TheMarketsDaily,2020-06-18T15:21:05.000Z,"The Markets Daily
@TheMarketsDaily
·
Jun 18, 2020FMC Corp $FMC Receives Average Recommendation of “Buy” from Analysts http://zpr.io/HPKxz",,,
Transcript Daily,@TranscriptDaily,2020-06-18T15:20:39.000Z,"Transcript Daily
@TranscriptDaily
·
Jun 18, 2020FMC Corp $FMC Receives Consensus Recommendation of “Buy” from Brokerages http://zpr.io/HPKXc",,,
FMC Corporation,@FMCCorp,2020-06-17T15:30:47.000Z,"FMC Corporation
@FMCCorp
·
Jun 17, 2020FMC is also celebrating this week’s U.S. Supreme Court 6-3 ruling in favor of protecting LGBTQ+ employees from being disciplined, fired or turned down for a job based on their sexual orientation and gender identity under the Civil Rights Act.  #SeeYourselfBeYourself #PrideMatters",,1.0,10
Stephanie Battaglino,@StephanieFYH,2020-06-17T15:25:45.000Z,"Stephanie Battaglino
@StephanieFYH
·
Jun 17, 2020Replying to 
@FMCCorp",,,
FMC Corporation,@FMCCorp,2020-06-17T15:03:18.000Z,"FMC Corporation
@FMCCorp
·
Jun 17, 2020FMC celebrated PRIDE month with 
@StephanieFYH
 who educated and inspired all of us on LGBTQ+ workplace equality and inclusion #PrideMatters #SeeYourselfBeYourself",1.0,1.0,14
Indiana FFA,@IndianaFFA,2020-06-16T21:31:12.000Z,"Indiana FFA
@IndianaFFA
·
Jun 16, 2020Though our PSO Banquet was virtual this year, we’d still like to thank 
@BecksHybrids
 and 
@FMCCorp
 for helping honor Past Indiana FFA Officers. RT if a State Officer impacted your life!",,4.0,9
Stanley Suen,@stanleysuen,2020-06-16T16:20:02.000Z,"Stanley Suen
@stanleysuen
·
Jun 16, 2020FMC Corp (FMC) Up 43% in 3 Months: What's Behind the Rally?
 http://stock-market-newsfeed.blogspot.com/2020/06/fmc-corp-fmc-up-43-in-3-months-whats.html…",,,
The Lincolnian,@ThisLincolnian,2020-06-16T09:25:16.000Z,"The Lincolnian
@ThisLincolnian
·
Jun 16, 2020Brokerages Set FMC Corp $FMC Target Price at $108.29 http://thelincolnianonline.com/?p=4163606",,,
Ticker Report,@TickerReport,2020-06-16T09:25:13.000Z,"Ticker Report
@TickerReport
·
Jun 16, 2020FMC Corp $FMC Receives $108.29 Consensus Target Price from Analysts http://tickerreport.com/?p=5771924",,,
Enterprise Leader,@EnterpriseLeade,2020-06-16T09:22:19.000Z,"Enterprise Leader
@EnterpriseLeade
·
Jun 16, 2020Brokerages Set FMC Corp $FMC Target Price at $108.29  http://theenterpriseleader.com/?p=3320753",,,
Thunderstruck Ag,@ThunderstruckAg,2020-06-16T00:15:00.000Z,"Thunderstruck Ag
@ThunderstruckAg
·
Jun 16, 2020The #ThanksForFarmingTour is only be made possible with the best sponsors in Ag. 
@FCCagriculture
 @FMCCorp
 @seednetca
 @Versatileag1",,5.0,4
FOCUS Finanzen,@focusfinanzen,2020-06-15T23:35:03.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 16, 2020FMC Corp.-Aktie Aktuell - FMC Corp. mit deutlichen Kursverlusten von 3,3 Prozent https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-16-06-2020_id_11103196.html?rnd=5c43f7d82994f425308862818a70955c…",,,
FOCUS Finanzen,@focusfinanzen,2020-06-15T17:50:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 15, 2020FMC Corp.-Aktie Aktuell - FMC Corp. notiert mit 3,3 Prozent deutliche Verluste https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-15-06-2020_id_11103196.html?rnd=e0472a05ad7ac81061655532420f976d…",,,
FOCUS Finanzen,@focusfinanzen,2020-06-15T15:50:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 15, 2020FMC Corp.-Aktie Aktuell - FMC Corp. verzeichnet mit 3,3 Prozent deutliche Verluste https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-15-06-2020_id_11103196.html?rnd=c3329a61141923027f04b64da3ac65a3…",,,
Daily Political,@dailypoliticaln,2020-06-15T09:04:08.000Z,"Daily Political
@dailypoliticaln
·
Jun 15, 2020Analysts Expect FMC Corp $FMC to Announce $1.66 Earnings Per Share http://dailypolitical.com/?p=4013974",,,
Watchlist News,@WatchlistN,2020-06-15T09:02:09.000Z,"Watchlist News
@WatchlistN
·
Jun 15, 2020FMC Corp $FMC Expected to Post Earnings of $1.66 Per Share http://zpr.io/HU2Pm",,,
Dakota Financial,@dakotafinancial,2020-06-15T09:01:15.000Z,"Dakota Financial
@dakotafinancial
·
Jun 15, 2020Analysts Expect FMC Corp $FMC to Announce $1.66 Earnings Per Share http://dakotafinancialnews.com/?p=2072084",,,
Community Financial,@CFinancialNews,2020-06-14T07:08:50.000Z,"Community Financial
@CFinancialNews
·
Jun 14, 2020Zacks: Brokerages Expect FMC Corp $FMC Will Announce Quarterly Sales of $1.20 Billion http://americanbankingnews.com/?p=14912114 #markets",,,
US Banking News,@AmericanBanking,2020-06-14T07:08:50.000Z,"US Banking News
@AmericanBanking
·
Jun 14, 2020Zacks: Brokerages Expect FMC Corp $FMC Will Announce Quarterly Sales of $1.20 Billion http://americanbankingnews.com/?p=14912114 #stocks",,,
InterCooler,@intercooleronli,2020-06-14T07:08:13.000Z,"InterCooler
@intercooleronli
·
Jun 14, 2020Zacks: Brokerages Expect FMC Corp $FMC Will Announce Quarterly Sales of $1.20 Billion  http://modernreaders.com/?p=3437973 #investingnews",,,
Enterprise Leader,@EnterpriseLeade,2020-06-14T07:06:23.000Z,"Enterprise Leader
@EnterpriseLeade
·
Jun 14, 2020Brokerages Anticipate FMC Corp $FMC Will Announce Quarterly Sales of $1.20 Billion  http://theenterpriseleader.com/?p=3306538",,,
Ticker Report,@TickerReport,2020-06-14T07:06:19.000Z,"Ticker Report
@TickerReport
·
Jun 14, 2020Zacks: Brokerages Expect FMC Corp $FMC Will Announce Quarterly Sales of $1.20 Billion http://tickerreport.com/?p=5757734",,,
Community Financial,@CFinancialNews,2020-06-13T21:43:09.000Z,"Community Financial
@CFinancialNews
·
Jun 13, 2020FMC Corp $FMC Given Average Rating of “Buy” by Brokerages http://americanbankingnews.com/?p=14909780 #markets",,,
US Banking News,@AmericanBanking,2020-06-13T21:43:08.000Z,"US Banking News
@AmericanBanking
·
Jun 13, 2020FMC Corp $FMC Given Average Rating of “Buy” by Brokerages http://americanbankingnews.com/?p=14909780 #stocks",,,
FOCUS Finanzen,@focusfinanzen,2020-06-13T20:50:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 13, 2020FMC Corp.-Aktie Aktuell - FMC Corp. legt deutliche 2,4 Prozent zu https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-13-06-2020_id_11103196.html?rnd=5c990a7f092944959a9b3d3cb7f783b4…",,,
FOCUS Finanzen,@focusfinanzen,2020-06-13T05:20:03.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 13, 2020FMC Corp.-Aktie Aktuell - FMC Corp. gewinnt mit 2,4 Prozent Zuwachs deutlich https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-13-06-2020_id_11103196.html?rnd=e1f302dfa65e7bf997365e6197befa4b…",,,
SEC.report,@EdgarInsider,2020-06-12T18:15:26.000Z,"SEC.report
@EdgarInsider
·
Jun 12, 2020SEC Form 11-K  filed by  $FMC FMC CORP https://sec.report/Document/0000037785-20-000087/…",,,
Community Financial,@CFinancialNews,2020-06-12T10:00:32.000Z,"Community Financial
@CFinancialNews
·
Jun 12, 2020Zacks: Analysts Anticipate FMC Corp $FMC Will Announce Earnings of $1.66 Per Share http://americanbankingnews.com/?p=14885349 #markets",,,
US Banking News,@AmericanBanking,2020-06-12T10:00:31.000Z,"US Banking News
@AmericanBanking
·
Jun 12, 2020Zacks: Analysts Anticipate FMC Corp $FMC Will Announce Earnings of $1.66 Per Share http://americanbankingnews.com/?p=14885349 #stocks",,,
Enterprise Leader,@EnterpriseLeade,2020-06-12T09:59:16.000Z,"Enterprise Leader
@EnterpriseLeade
·
Jun 12, 2020Analysts Expect FMC Corp $FMC to Post $1.66 EPS  http://theenterpriseleader.com/?p=3298181",,,
Ticker Report,@TickerReport,2020-06-12T09:57:36.000Z,"Ticker Report
@TickerReport
·
Jun 12, 2020Zacks: Analysts Anticipate FMC Corp $FMC Will Announce Earnings of $1.66 Per Share http://tickerreport.com/?p=5749436",,,
FOCUS Finanzen,@focusfinanzen,2020-06-12T01:05:04.000Z,"FOCUS Finanzen
@focusfinanzen
·
Jun 12, 2020FMC Corp.-Aktie Aktuell - FMC Corp. bricht um 5,1 Prozent ein https://focus.de/finanzen/boerse/aktien/fmc-corp-aktie-12-06-2020_id_11103196.html?rnd=cdf6e297cf13cf273c934cd683c5cb80…",,,
